,AEGQRD,AIJFBS,AJAAJF,ANKPII,AOWNEI,AOWXSX,APJJHM,ASANPU,ASEXYC,ATUPVQ,AUBZAL,AWCJON,AYNOJU,BAFEZW,BAGTHE,BANEBG,BCPUTR,BEAHTO,BGARRH,BHLXOU,BKLOUZ,BKOQNI,BKWYSX,BRCOZW,BTEYDQ,BWLIKT,CBBOKY,CDPBUL,CDSRYG,CFFEFN,CFKVNH,CMLWYO,COLPJZ,CPCLJX,CQNGQE,CSFNMS,CTNMLG,CTYCHI,CVROPM,CZLSSH,DCQYRO,DDJUKD,DDYPEN,DHMCLM,DKEETE,DKFLKH,DLRGZY,DQEOIZ,DSXCDZ,DUDWNF,DUYYKV,DVNOEX,EADJIP,EAKPZC,EALREA,EBIQSS,ECNAYU,EDKWJJ,EHXYYC,EJUEMV,EKJZOG,EKYWRP,ELQWPV,EQXLMZ,ERFJAI,ESNONC,EUENUU,EUOMYO,EWAAKG,EXBJWK,EYQAWN,EZCKDK,FBXKRD,FCCNRR,FFOCIJ,FKBYDP,FOAYLK,FRNQCU,FTSWHH,FUBESA,FVMBOR,FXIKLD,FXNNRR,FZWTWL,GBWGFP,GCPWCW,GDCFUZ,GFRTJY,GFVAYA,GJDHSQ,GQHRXK,GQQMUO,GRHBNI,GSDWRW,GSZXYF,GWQZPO,GXKFWP,HIEJZX,HNIOXL,HOXSZA,HQCLVV,HRKMDS,HZBYDG,IBTQMK,IEPPEH,IFXTKB,IKTSLN,ILIREM,ILTXVZ,ILZVLJ,IMYNMI,IOPEDG,IOULTI,IUVCDA,IYSTYO,IZFMAM,JFVDTW,JHQXYO,JNREXM,JOADUZ,JYFXNM,JYFYGU,JYZQZN,KBKXEU,KCDAJQ,KCLSFZ,KDOURB,KDYIBD,KIFVSO,KKSZZH,KOJBJX,KPEPOP,KQPERD,KRJYDL,KSKLFS,KTSZMG,KUSDWL,KVEMSQ,KWLQBG,KXEGJS,KYPGWV,LDQMLD,LEYXXH,LHFAOG,LIBELH,LKMRRP,LNTSMQ,LOBQFJ,LOLGXT,LVFNQH,LWARKS,LYCPEE,MARZJV,MCUUGN,MGEMBU,MLIWNE,MLLYTK,MMADDY,MSVPZM,MZRXTL,NCBZCR,NFPMGH,NGNDYH,NGWSCQ,NHIDSE,NISXLC,NJKWOG,NLELFR,NLEOGC,NNRCPW,NOGJMK,NPDCMZ,NRWBSB,NTEEJB,NWGLEN,OCDYNK,OCLXYL,ODDIML,ODMYWR,OHXWNL,OIHDDW,OIVJAZ,OJVDDX,OKKQOV,OOVKZQ,OQWEQK,OUKEEB,OVFFAC,OWGUHB,OWOSWS,OXPQCK,OZMNIB,OZPQMZ,PCRCOY,PDPXZM,PEALPI,PEHUIZ,PFORAO,PGBCWW,PGCZCG,PGOHUS,PHSPKE,PIVNDN,PMZNBY,PPHSSG,PPUBWH,PPVUFS,PTLLLY,PUUYFY,PWDGDS,PYYYUQ,QBVEDF,QHKPYN,QITCWV,QKANEJ,QKIGGF,QKJFZD,QNTBYQ,QOBBVK,QRKSSH,QSYRNF,QUGEQX,RBHGBR,RBQVHJ,RDBXJV,REGOOJ,RIRXTY,RJHGDB,RLCCAU,RMNRAZ,RNJWLR,RQRGMK,RQYWDF,RRGVEC,RRICRX,RSWSGT,RTDTNE,RYCFCX,RYENKI,SCPKIE,SINXQG,SMJTQF,SOCLOZ,SSTIBF,STAIFM,SUNVHK,SVEEBJ,SWYBGR,SYAWOP,SYQXCC,SYVAQV,TCPUCO,TEBOGM,THXVXM,TJKMID,TMSLKN,TNOHWJ,TRGLHK,TRZRAR,TSTQAO,TVTYVW,TWFIYK,TXPSGJ,UBLHOC,UBSCBZ,UHIWKC,UHUHHJ,ULVZSW,UOSFXL,URRGTF,UTBCWZ,UVFTKA,UWMZJS,UWSRIT,UZFBRJ,VAGYZP,VEDGTP,VFRLSM,VFTVXE,VFVAXC,VHRETD,VKRKMA,VMVJFB,VONMQT,VRVSSE,VSSJWB,VWXCDB,VXCQSI,WBNVFV,WMFJSY,WOKWSF,WSRUCA,WVTPPU,WZDWXR,WZESWQ,WZMLUY,WZPSZL,XATRZB,XBQDWP,XBTGHA,XCJAHA,XEYHZY,XFIXSZ,XGFKXF,XICXCQ,XISOSJ,XLRGWJ,XMUZVK,XMYBJC,XNXMBG,XQVLQE,XTHZMM,XTNUAL,XTWXUV,XYJEOS,XZKUBD,YAIHEQ,YBPYJO,YCDYBQ,YDSAWP,YFPWKL,YGUFCU,YIQLCR,YIYNXL,YMOCHA,YOTAGQ,YOUODW,YPESLH,YRTSYY,YSMFXS,YUADCE,YVZJHU,YYORXN,YZNRSP,ZCBFJR,ZCLBHL,ZCNMKU,ZEKNHN,ZGYUVD,ZHWPBM,ZIPXGV,ZKDKZS,ZKDYFY,ZPWVVS,ZRDNQV,ZRGIHQ,ZSKWBY,ZSYISM
20200116,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20200117,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20200120,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20200121,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20200122,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20200123,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20200128,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20200129,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20200130,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20200131,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20200203,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20200204,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20200205,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20200206,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20200207,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
